id,kode,nama_bahan,sumber,air_gram,energi_kal,protein_gram,lemak_gram,karbohidrat_gram,serat_gram,abu_gram,kalsium_mg,fosfor_mg,zatbesi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,bkaroten_mcg,karotentotal_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitc_mg,bdd,jenis_pangan,satuan,gambar
2339,FatSecretIndo,Klapertart,FatSecretIndo,0,735,3.29,9.37,21.01,2,0,0,0,0,121,220,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/781cce8a-75c1-4d4a-bb92-485a6e77102a.jpg
2340,FatSecretIndo,Cookies Oatmeal,FatSecretIndo,0,146,1.93,2.65,9.82,1.6,0,0,0,0,3,49,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/99c99845-bd46-4473-902b-e4cb3ea341b0.jpg
2341,FatSecretIndo,Sayur Tumis Sawi Telur,FatSecretIndo,0,544,4.66,7.25,13.25,2.6,0,0,0,0,57,361,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/20879525-7f81-4dca-a03c-faea7e32fe74.jpg
2342,FatSecretIndo,Bubur Oat,FatSecretIndo,0,1728,35.49,14.16,38,5.6,0,0,0,0,809,978,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/912d5461-26e4-451c-961c-d03233c84e77.jpg
2343,FatSecretIndo,Tumis Ayam Jamur Tempe,FatSecretIndo,0,2770,56.15,24.51,62.9,10,0,0,0,0,3839,2007,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/75000ddf-7b45-4399-a8de-badc6ea3172f.jpg
2344,FatSecretIndo,Bolu Pisang Kukus,FatSecretIndo,0,576,3.47,5.37,20.56,11,0,0,0,0,193,225,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/cf4ed3b3-3036-4677-94ed-711f6713e9be.jpg
2345,FatSecretIndo,Telur Kukus,FatSecretIndo,0,962,22.64,12.5,5.56,1.4,0,0,0,0,347,417,0,0,0,0,0,0,0,0,0,100,telur,olahan/produk,https://m.ftscrt.com/static/recipe/ab76b9f0-1096-4ab8-bfca-bb33563b69e5.jpg
2346,FatSecretIndo,Bubur Oatmeal Asin,FatSecretIndo,0,933,12.26,7.99,27.49,4.2,0,0,0,0,1549,228,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/a01980be-616d-4107-a203-a94d7b2cf85a.jpg
2347,FatSecretIndo,Kekian Udang,FatSecretIndo,0,194,7.19,1.05,1.93,0.1,0,0,0,0,132,56,0,0,0,0,0,0,0,0,0,100,ikan kerang udang,olahan/produk,https://m.ftscrt.com/static/recipe/d430fd36-3f49-4c7b-b50d-cae272bc8ad9.jpg
2348,FatSecretIndo,Cah Sayur,FatSecretIndo,0,1004,20.94,1.46,36.44,5.5,0,0,0,0,2833,905,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/a79b6ace-bec2-474f-ac5c-e8773e3a89cf.jpg
2349,FatSecretIndo,Spaghetti Aglio Olio Bandeng tanpa Minyak,FatSecretIndo,0,1933,31.09,9.1,65.74,7.2,0,0,0,0,2783,942,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/d71e2036-a956-4e46-a3bd-860e77aefe9b.jpg
2350,FatSecretIndo,Cah Brokoli Ayam,FatSecretIndo,0,767,20.91,8.64,4.84,1.1,0,0,0,0,1218,300,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/3cb3465c-8292-4016-9a11-4c1d711af10a.jpg
2351,FatSecretIndo,Mini Pancakes,FatSecretIndo,0,1477,10.92,8.04,62.77,4.3,0,0,0,0,64,618,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/123ed72d-c496-4fe0-9c0e-26a9a2b8287b.jpg
2352,FatSecretIndo,Shirataki Tomato Soup,FatSecretIndo,0,681,6.29,6.37,21.74,6.1,0,0,0,0,1550,395,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/a6235aa8-0fc3-4813-b99a-9a0c93a34218.jpg
